exec_time,write_time,read_time
0.0754491,0.00839993,0.00351505
0.0754827,0.00944977,0.00246136
0.0754626,0.00890266,0.00243105
0.0754294,0.00902176,0.00241177
0.0754532,0.00911866,0.00245601
0.0754355,0.00918213,0.00236332
0.0754691,0.00900745,0.00246476
0.0754743,0.00897141,0.00244184
0.0754783,0.00891723,0.00244594
0.0754884,0.00890227,0.00244389
0.0754826,0.00906575,0.00244555
0.0754742,0.00890494,0.00244434
0.0754849,0.00895749,0.00246647
0.0754677,0.00920177,0.00252073
0.0754696,0.00907925,0.00246158
0.0754825,0.00897845,0.00245179
0.075461,0.00895824,0.0024549
0.0755126,0.0091417,0.00244009
0.075484,0.00903168,0.0024469
0.0754771,0.00893177,0.00244853
0.0754583,0.00905959,0.00246613
0.0754706,0.00905018,0.00244453
0.0754816,0.00892435,0.00243433
0.0754694,0.00904734,0.00263398
0.0754832,0.00909196,0.00255307
0.075487,0.00907885,0.00246516
0.0754739,0.00902042,0.00246044
0.0754899,0.00901973,0.00251485
0.0754825,0.00918126,0.0026714
0.0754729,0.00891208,0.00245262
0.0754839,0.0089417,0.00246027
0.0754866,0.00906299,0.00245035
0.0754734,0.00881717,0.00244549
0.0754728,0.00891145,0.00244857
0.0754813,0.00905319,0.0025255
0.0754728,0.00880068,0.00244621
0.075457,0.00896409,0.00246396
0.0754632,0.00896822,0.0024382
0.0754963,0.00884521,0.00245738
0.0754619,0.00882433,0.00247171
0.0754748,0.00899716,0.00273861
0.0754421,0.00900164,0.00249911
0.075437,0.00898202,0.00248052
0.0754438,0.00876112,0.00245726
0.0754414,0.0090393,0.00275048
0.0754457,0.00903571,0.00251016
0.0754447,0.00900978,0.00247497
0.0754612,0.00902872,0.00250298
0.0754669,0.0090628,0.00249275
0.0754867,0.00902126,0.00248967
