exec_time,write_time,read_time
0.140411,0.145166,0.0477107
0.140468,0.142407,0.038601
0.140376,0.145111,0.0385992
0.14064,0.144848,0.038583
0.140346,0.145254,0.03862
0.140459,0.144986,0.0385748
0.140717,0.14545,0.0386148
0.140446,0.145193,0.0386328
0.140383,0.144892,0.0385521
0.140666,0.144947,0.0385735
0.140367,0.145079,0.0385987
0.14048,0.145229,0.0387082
0.140698,0.14545,0.0386024
0.140462,0.145435,0.0386355
0.140355,0.145548,0.0385546
0.140463,0.144999,0.038586
0.140364,0.143763,0.0385537
0.140461,0.145568,0.0385427
0.140369,0.145143,0.0387941
0.140457,0.145533,0.0385654
0.140366,0.14538,0.0386842
0.140465,0.145325,0.0388091
0.140384,0.145392,0.0387039
0.140466,0.145162,0.0386561
0.140367,0.145494,0.0387416
0.140652,0.145262,0.0387528
0.140807,0.145219,0.0386017
0.140456,0.146655,0.0385912
0.140385,0.145013,0.0386373
0.140448,0.145304,0.0385636
0.140379,0.145156,0.0386895
0.140458,0.147194,0.038756
0.140389,0.145262,0.0385533
0.140466,0.144892,0.0385897
0.140362,0.145157,0.0387493
0.140459,0.145373,0.0386712
0.140365,0.147061,0.0385876
0.14046,0.145305,0.0386107
0.140384,0.145038,0.0391274
0.140464,0.145078,0.0386461
0.140711,0.145079,0.0385617
0.140447,0.14535,0.0386369
0.140361,0.145133,0.0398949
0.140446,0.145504,0.0385432
0.140363,0.145302,0.0385545
0.140459,0.145108,0.0386113
0.140777,0.145128,0.038644
0.140472,0.144852,0.0385708
0.140367,0.144872,0.0385459
0.140647,0.145271,0.0387217
