exec_time,write_time,read_time
0.0288418,0.0726841,0.0235161
0.0288046,0.0720083,0.0189246
0.0287937,0.0708485,0.0189144
0.028813,0.0721167,0.018907
0.0288123,0.0725322,0.0190102
0.0288118,0.072258,0.0188959
0.0288117,0.0721433,0.0189439
0.0287855,0.0718228,0.018931
0.0287986,0.0720269,0.01889
0.0287857,0.0710102,0.0188987
0.028782,0.0710252,0.018437
0.0287798,0.0726393,0.0189178
0.0287873,0.0720317,0.0190662
0.028784,0.0721222,0.0191024
0.0287751,0.0720559,0.018919
0.0287787,0.0722931,0.0189578
0.0288186,0.0718988,0.0191543
0.0287949,0.0721039,0.0190131
0.0287995,0.073022,0.0189617
0.0287753,0.0716232,0.0189339
0.0287967,0.0721954,0.0189361
0.0287902,0.0731112,0.0189336
0.0288215,0.0720748,0.0189726
0.0288135,0.0722362,0.0189464
0.0287932,0.0721447,0.0189403
0.0287924,0.0724327,0.0189079
0.0287969,0.0725579,0.0189238
0.0287571,0.0735,0.0185048
0.0287649,0.0752699,0.0193374
0.0287811,0.0785218,0.021568
0.0287774,0.0720599,0.0185261
0.0287659,0.0714918,0.0184862
0.0287903,0.0715252,0.0189368
0.0287729,0.0739484,0.0189092
0.0287999,0.0720408,0.0189636
0.0288054,0.0709172,0.0185699
0.0288061,0.0715608,0.0184887
0.0287875,0.0712973,0.0185747
0.0287824,0.0722819,0.0189618
0.0287817,0.0718712,0.0189514
0.0287588,0.072272,0.0188937
0.0287862,0.0719454,0.018907
0.0287917,0.0723382,0.0189314
0.0287615,0.0713973,0.0185879
0.0287935,0.0721305,0.0189013
0.02878,0.0712961,0.0184306
0.0287601,0.0710635,0.0183946
0.0287655,0.0712999,0.0184932
0.0287664,0.0710092,0.0184511
0.0287573,0.0711176,0.0184419
