Time,withPCIE_time, withFileIO
7.49714,7.58831,14.5645
7.49773,7.58904,15.239
7.48892,7.57944,14.8148
7.49807,7.58925,14.4745
7.49811,7.58915,14.9749
7.49877,7.5897,14.4323
7.50301,7.59399,14.982
7.50124,7.59244,14.9555
7.49404,7.58491,14.458
7.48806,7.58093,15.0057
7.49972,7.59013,14.9251
7.49564,7.58633,14.4622
7.49726,7.58828,14.9626
7.49687,7.58797,14.9579
7.50105,7.59214,14.4906
7.49222,7.58344,14.45
7.49087,7.58201,14.9625
7.49447,7.58553,14.4659
7.50412,7.59505,14.4637
7.5003,7.59126,14.9498
7.50083,7.59079,14.4768
7.49438,7.58542,14.9554
7.50444,7.59571,14.9897
7.48972,7.5794,14.4559
7.49984,7.59048,15.0119
7.4981,7.58935,14.9153
7.49034,7.57995,14.449
7.5001,7.59035,14.9676
7.49675,7.58809,14.9826
7.4996,7.59044,14.4736
7.49931,7.58998,14.9775
7.4903,7.58079,14.9402
7.49081,7.58046,14.4879
7.49028,7.58128,14.9495
7.49477,7.5859,14.9477
7.49749,7.58871,14.4814
7.4974,7.58807,14.4798
7.50002,7.59087,14.9463
7.49364,7.58476,14.4776
7.49946,7.59062,14.9507
7.49909,7.59025,14.9882
7.49761,7.58846,14.4532
7.49414,7.58521,14.9481
7.498,7.58912,14.9795
7.49869,7.5896,14.4711
7.49185,7.58272,14.9349
7.50422,7.59512,14.987
7.51197,7.60254,14.5259
7.49645,7.58737,14.8965
7.48656,7.57751,14.9423
7.49521,7.58623,14.4825
7.49433,7.58549,14.9619
